sequence,sid,pos_acts_toeachother,neg_acts_toeachother,pos_acts_together,neg_acts_together,pos_char1_acts,neg_char1_acts,pos_char2_acts,neg_char2_acts,pos,neg,filename,unique_ID,29:posFramesFired,30:negFramesFired,31:otherFramesFired,32:posFramewrtCharFired,33:negFramewrtCharFired,34:otherFrameswrtCharFired,manualLabel
1,s0,0,0,0,0,0,0,0,1,0,1,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents0,2,2,1,1,2,1,p
1,s9,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents9,1,1,0,0,0,0,p
1,s10,0,0,0,0,0,0,1,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents10,2,1,0,0,0,0,p
1,s12,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents12,0,1,0,0,0,0,p
1,s13,0,0,0,0,0,0,0,0,0,2,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents13,0,0,0,0,0,0,p
1,s14,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents14,0,0,0,0,0,0,p
1,s17,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents17,1,0,0,1,0,0,p
1,s21,0,0,1,0,0,0,0,0,1,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents21,0,2,1,0,2,1,p
1,s23,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents23,0,0,0,0,0,0,p
1,s24,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.3.sent,aeschylus.libation.0.3.sents24,0,1,0,0,0,0,p
2,s0,0,0,0,0,0,0,0,0,1,0,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents0,2,2,1,0,2,0,n
2,s12,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents12,0,1,0,0,0,0,n
2,s14,0,0,0,0,0,0,0,0,0,1,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents14,0,0,0,0,0,0,n
2,s16,0,0,0,0,0,0,0,0,0,1,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents16,0,0,0,0,0,0,n
2,s20,0,0,0,0,0,0,0,0,0,0,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents20,0,0,0,0,0,0,n
2,s24,0,0,0,0,0,0,0,0,1,0,aeschylus.libation.0.5.sent,aeschylus.libation.0.5.sents24,0,1,0,0,0,0,n
3,s0,0,0,0,0,0,0,0,1,1,0,aeschylus.libation.2.3.sent,aeschylus.libation.2.3.sents0,2,2,1,1,2,1,n
3,s10,0,0,1,0,0,1,0,0,1,1,aeschylus.libation.2.3.sent,aeschylus.libation.2.3.sents10,2,1,0,0,0,0,n
