1:sentId,2:AreTeam,3:CountPosSpanWords,4:CountNegSpanWords,5:MeanPol_PosActsToEachOther_Choi,6:MeanPol_NegActsToEachOther_Choi,7:Is_PosActsToEachOther_LiuPol,8:Is_NegActsToEachOther_LiuPol,9:Is_PosActsToEachOther_MPQAPol,10:Is_NegActsToEachOther_MPQAPol,11:MeanPol_PosActs1Char_Choi,12:MeanPol_NegActs1Char_Choi,13:Is_PosActs1Char_LiuPol,14:Is_NegActs1Char_LiuPol,15:Is_PosActs1Char_MPQAPol,16:Is_NegActs1Char_MPQAPol,17:MeanPol_PosAdverbs_ActsToEachOther_Choi,18:MeanPol_NegAdverbs_ActsToEachOther_Choi,19:Is_PosAdverbs_ActsToEachOther_LiuPol,20:Is_NegAdverbs_ActsToEachOther_LiuPol,21:Is_PosAdverbs_ActsToEachOther_MPQAPol,22:Is_NegAdverbs_ActsToEachOther_MPQAPol,23:MeanPol_PosAdverbs_Acts1Char_Choi,24:MeanPol_NegAdverbs_Acts1Char_Choi,25:Is_PosAdverbs_Acts1Char_LiuPol,26:Is_NegAdverbs_Acts1Char_LiuPol,27:Is_PosAdverbs_Acts1Char_MPQAPol,28:Is_NegAdverbs_Acts1Char_MPQAPol,29:posFramesFired,30:negFramesFired,31:otherFramesFired,32:posFramewrtCharFired,33:negFramewrtCharFired,34:otherFrameswrtCharFired
s1,0,0,0,0,0,0,0,0,0,0.110521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s4,0,0,2,0,0,0,0,0,0,0.49406975,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
s7,0,0,0,0,0.047987,0,0,0,0,0,8.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s8,0,0,0,0,0,0,0,0,0,0.387054,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s10,0,0,0,0,0,0,0,0,0,0.499927,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s11,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s12,0,0,0,0.5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s13,0,1,0,0,0,0,0,0,0,0.499238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s16,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s17,0,0,1,0,0,0,0,0,0,0,0.088823,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s18,0,0,1,0,0,0,0,0,0,0.437287,0.103859,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
s19,0,0,0,0.5,0,0,0,0,0,0.259226,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s22,0,1,1,0,0,0,0,0,0,0.2768845,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s23,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s24,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s25,0,0,0,0.5,0,0,0,0,0,0.4931395,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s26,0,0,0,0.5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s31,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s32,1,2,1,0,0,0,0,0,0,0.2539285,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
s33,0,1,0,0.5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s37,0,0,1,0.5,0,0,0,0,0,0.5,0.00212,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
s38,0,0,0,0,0,0,0,0,0,0.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s39,0,0,1,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s40,0,0,0,0,0,0,0,0,0,0.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
