1:sentId,2:AreTeam,3:CountPosSpanWords,4:CountNegSpanWords,5:MeanPol_PosActsToEachOther_Choi,6:MeanPol_NegActsToEachOther_Choi,7:Is_PosActsToEachOther_LiuPol,8:Is_NegActsToEachOther_LiuPol,9:Is_PosActsToEachOther_MPQAPol,10:Is_NegActsToEachOther_MPQAPol,11:MeanPol_PosActs1Char_Choi,12:MeanPol_NegActs1Char_Choi,13:Is_PosActs1Char_LiuPol,14:Is_NegActs1Char_LiuPol,15:Is_PosActs1Char_MPQAPol,16:Is_NegActs1Char_MPQAPol,17:MeanPol_PosAdverbs_ActsToEachOther_Choi,18:MeanPol_NegAdverbs_ActsToEachOther_Choi,19:Is_PosAdverbs_ActsToEachOther_LiuPol,20:Is_NegAdverbs_ActsToEachOther_LiuPol,21:Is_PosAdverbs_ActsToEachOther_MPQAPol,22:Is_NegAdverbs_ActsToEachOther_MPQAPol,23:MeanPol_PosAdverbs_Acts1Char_Choi,24:MeanPol_NegAdverbs_Acts1Char_Choi,25:Is_PosAdverbs_Acts1Char_LiuPol,26:Is_NegAdverbs_Acts1Char_LiuPol,27:Is_PosAdverbs_Acts1Char_MPQAPol,28:Is_NegAdverbs_Acts1Char_MPQAPol,29:posFramesFired,30:negFramesFired,31:otherFramesFired,32:posFramewrtCharFired,33:negFramewrtCharFired,34:otherFrameswrtCharFired
s2,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s7,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s10,0,0,0,0.5,0,0,0,0,0,0.389072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s15,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
s19,0,0,1,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
s24,0,0,1,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s35,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s38,0,0,0,0.5,0,0,0,0,0,0.475,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
s43,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s48,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
s54,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
s56,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
s64,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
s69,0,0,0,0,0,0,0,0,0,0.5,0.498695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
s70,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
s72,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
s78,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
s89,0,0,0,0.5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s102,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
s104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s107,0,1,1,0,0,0,0,0,0,0.37977975,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,1
