1:sentId,2:AreTeam,3:CountPosSpanWords,4:CountNegSpanWords,5:MeanPol_PosActsToEachOther_Choi,6:MeanPol_NegActsToEachOther_Choi,7:Is_PosActsToEachOther_LiuPol,8:Is_NegActsToEachOther_LiuPol,9:Is_PosActsToEachOther_MPQAPol,10:Is_NegActsToEachOther_MPQAPol,11:MeanPol_PosActs1Char_Choi,12:MeanPol_NegActs1Char_Choi,13:Is_PosActs1Char_LiuPol,14:Is_NegActs1Char_LiuPol,15:Is_PosActs1Char_MPQAPol,16:Is_NegActs1Char_MPQAPol,17:MeanPol_PosAdverbs_ActsToEachOther_Choi,18:MeanPol_NegAdverbs_ActsToEachOther_Choi,19:Is_PosAdverbs_ActsToEachOther_LiuPol,20:Is_NegAdverbs_ActsToEachOther_LiuPol,21:Is_PosAdverbs_ActsToEachOther_MPQAPol,22:Is_NegAdverbs_ActsToEachOther_MPQAPol,23:MeanPol_PosAdverbs_Acts1Char_Choi,24:MeanPol_NegAdverbs_Acts1Char_Choi,25:Is_PosAdverbs_Acts1Char_LiuPol,26:Is_NegAdverbs_Acts1Char_LiuPol,27:Is_PosAdverbs_Acts1Char_MPQAPol,28:Is_NegAdverbs_Acts1Char_MPQAPol,29:posFramesFired,30:negFramesFired,31:otherFramesFired,32:posFramewrtCharFired,33:negFramewrtCharFired,34:otherFrameswrtCharFired
s2,0,0,0,0,0,0,0,0,0,0.247764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
s5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s6,0,0,0,0,0,0,0,0,0,0.489285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
s7,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
s10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s12,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
s14,0,0,1,0,0,0,0,0,0,0.390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
s15,0,0,0,0.497469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s23,0,0,1,0.5,0,0,0,1,0,0,0.0339975,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
s24,0,0,0,0,0,0,0,0,0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s27,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s34,0,0,0,0,0,0,0,0,0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
s35,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s44,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
s46,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s68,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
s72,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s73,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
