1:sentId,2:AreTeam,3:CountPosSpanWords,4:CountNegSpanWords,5:MeanPol_PosActsToEachOther_Choi,6:MeanPol_NegActsToEachOther_Choi,7:Is_PosActsToEachOther_LiuPol,8:Is_NegActsToEachOther_LiuPol,9:Is_PosActsToEachOther_MPQAPol,10:Is_NegActsToEachOther_MPQAPol,11:MeanPol_PosActs1Char_Choi,12:MeanPol_NegActs1Char_Choi,13:Is_PosActs1Char_LiuPol,14:Is_NegActs1Char_LiuPol,15:Is_PosActs1Char_MPQAPol,16:Is_NegActs1Char_MPQAPol,17:MeanPol_PosAdverbs_ActsToEachOther_Choi,18:MeanPol_NegAdverbs_ActsToEachOther_Choi,19:Is_PosAdverbs_ActsToEachOther_LiuPol,20:Is_NegAdverbs_ActsToEachOther_LiuPol,21:Is_PosAdverbs_ActsToEachOther_MPQAPol,22:Is_NegAdverbs_ActsToEachOther_MPQAPol,23:MeanPol_PosAdverbs_Acts1Char_Choi,24:MeanPol_NegAdverbs_Acts1Char_Choi,25:Is_PosAdverbs_Acts1Char_LiuPol,26:Is_NegAdverbs_Acts1Char_LiuPol,27:Is_PosAdverbs_Acts1Char_MPQAPol,28:Is_NegAdverbs_Acts1Char_MPQAPol,29:posFramesFired,30:negFramesFired,31:otherFramesFired,32:posFramewrtCharFired,33:negFramewrtCharFired,34:otherFrameswrtCharFired
s6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
s10,0,0,3,0,0,0,0,0,0,0.388015,1.4e-05,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
s11,0,0,0,0,0,0,0,0,0,0.499796,0.025986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s13,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
s19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s21,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
s22,0,0,1,0,0,0,0,0,0,0.47619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
s27,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2
s28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
s34,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
s37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s39,0,0,0,0,0,0,0,0,0,0.459993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
s40,0,0,2,0,0,0,0,0,0,0,0.006355,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
s41,0,1,1,0.499197,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
s42,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s47,0,0,3,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
s48,0,1,0,0,0,0,0,0,0,0.5,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
s51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
s52,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
s53,0,0,1,0,0,0,0,0,0,0,0.0003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
s54,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
s57,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
s58,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
s62,0,0,0,0,0,0,0,0,0,0.499798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
